DATE,Y,G,T,GSHK_R,T90_MMO,TFPSHK_FRBNY_P,TBILL3
2012-07-01,66.7998517071208,5.29585147453494,9.9302331714498,0,0,0.003635959,0.103333333333333
2012-10-01,66.7627740687571,5.16158812698151,10.1991680319284,0,0,0.022683043,0.086666666666667
2013-01-01,67.1664256847228,5.01049070977375,10.9903629353441,-2.974,,-0.081186741,0.086666666666667
2013-04-01,67.1024757456471,4.95404933931401,11.0319916141509,0,,-0.020800926,0.05
2013-07-01,67.4249155748832,4.86017894080117,11.0185320104989,0,,-0.071969783,0.033333333333333
2013-10-01,67.7594747635308,4.81032907966932,11.0653783869167,0,,-0.05067552,0.063333333333333
2014-01-01,67.3879112146741,4.763138233112,11.3548058489965,0,,4.36E-05,0.046666666666667
2014-04-01,68.101772150635,4.7188089071145,11.4394067497843,0,,0.005871186,0.033333333333333
2014-07-01,68.7097852837563,4.76041182251914,11.4249109248989,0,,0.014564028,0.026666666666667
2014-10-01,68.9138920493837,4.68201426504397,11.5820888785868,0,,0.084785986,0.023333333333333
2015-01-01,69.1636298070304,4.67464684849616,11.9395708734041,0,,0.045140633,0.026666666666667
2015-04-01,69.391165323912,4.65539480118761,11.9745023085438,0,,0.013432634,0.02
2015-07-01,69.476075278015,4.63452139233692,11.8659990480018,0,,0.028370398,0.04
2015-10-01,69.3984449298652,4.65366806597625,11.5306333377996,0,,0.014039198,0.123333333333333
2016-01-01,69.5585901531621,4.6408131685933,11.7419028701503,,,0.058326413,0.286666666666667
2016-04-01,69.6288321290025,4.58590461990002,11.6997059208789,,,-0.086666516,0.256666666666667
2016-07-01,69.8448575579444,4.60573183896519,11.8013275873784,,,-0.0103805,0.296666666666667
2016-10-01,69.9919213758312,4.59331209029074,11.8194392323347,,,-0.030783789,0.43
2017-01-01,70.4025874346996,4.56696625165706,11.5392626562995,,,-0.018430119,0.59
2017-04-01,70.6441712724265,4.59776274742423,11.6527108817313,,,0.006499248,0.89
2017-07-01,70.9581565298939,4.58320027119466,11.8002985847287,,,0.023377044,1.03666666666667
2017-10-01,71.4956761024103,4.63033657481636,11.8561355552415,,,0.019320845,1.20666666666667
2018-01-01,71.7207389542333,4.64924224082159,11.4376058924914,,,-0.040863538,1.56
2018-04-01,72.2576393143675,4.69564466389866,11.5358347093271,,,0.029682856,1.84
2018-07-01,72.3503111609877,4.73064171799654,11.6325877483693,,,0.050158047,2.04
2018-10-01,72.3551225611461,4.75465693219622,11.7275975438795,,,-0.008469796,2.31666666666667
2019-01-01,72.8945641887059,4.81414561413107,11.9926719004655,,,0.017629635,2.38666666666667
2019-04-01,73.3368051177599,4.84645108670442,11.9220147600933,,,0.011412693,2.3
